Number,Employer,EmployerIndustry,CEE,CS,ECE,ETM,MME,JobTypes,OPT/CPT?
1,,,,,,,,,
2,,,,,,,,,
3,MCECS,,,,,,,,
4,AerotekEngineering,HumanResources,x,x,x,x,x,,
5,AlphaOmegaJirehSemiconductor,Electronic&ComputerHardware,,,x,,x,Job,Y
6,APCON,ComputerNetworking,,x,x,,,Internship;Job,
7,AutomationSolutions,Manufacturing-Other,,,x,,x,Internship;Job,Y
8,Barry-WehmillerDesignGroup;Inc.,ScientificandTechnicalConsulting,x,,x,,x,CooperativeEducation;Internship;Job,
9,Black&Veatch,Construction,x,,x,,x,,Y
10,CityofPortlandBureauofHumanResources,Government-Local;State&Federal,x,x,x,x,x,Internship;Job,Y
11,CoffmanEngineers;Inc.,ArchitectureandPlanning,x,,x,,x,Internship;Job,
12,DaimlerTrucksNorthAmerica;LLC.,Automotive,,x,x,x,x,Internship;Job,
13,DCIEngineers,CivilEngineering,x,,,,,Internship,Y
14,DLRGroup,ArchitectureandPlanning,x,,x,,x,Internship;Job,Y
15,,,,,,,,,
16,,,,,,,,,
17,DMTClearGasSolutions,UtilitiesandRenewableEnergy,,,x,x,x,Internship;Job,Y
18,DOWL,CivilEngineering,x,,,,,Internship;Job,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,FederalHighwayAdministration,Government-Local;State&Federal,x,,,,,Volunteer;Fellowship;Internship;Job,
23,InternalRevenueService(IRS),Government-Local;State&Federal,,x,,x,,,
24,Jacobs,,x,x,x,x,x,Internship;Job,
25,KestrelEngineeringGroupInc.,ScientificandTechnicalConsulting,x,,x,,x,Internship;Job,
26,LatticeSemiconductor,Electronic&ComputerHardware,,,x,,,Internship;Job,Y
27,Mackenzie,ArchitectureandPlanning,x,,,,,Internship;Job,Y
28,Mead&Hunt;Inc.,ArchitectureandPlanning,x,,x,,x,CooperativeEducation;Internship;Job,
29,,,,,,,,,
30,Murraysmith,CivilEngineering,x,,,,,Job,
31,NetSPI,Internet&Software,,x,,x,,Job,Y
32,Oracle,Internet&Software,,x,x,,,Job,Y
33,OregonAirNationalGuard,Defense,x,x,x,x,x,,
34,PBSEngineeringandEnvironmentalInc.,CivilEngineering,x,,,,,Internship;Job,Y
35,PortofPortland,Government-Local;State&Federal,x,,x,,x,Internship;Job,Y
36,PortlandStateUniversity-OfficeofInformationTechnology,HigherEducation,,x,,,,OnCampusStudentEmployment,
37,PortlandStateUniversitySchoolofBusiness,OtherIndustries,,,,,,,
38,POWEREngineers;Inc.,CivilEngineering,,,x,,x,CooperativeEducation;Internship;Job,
39,International Students,,,,,,,,
40,Internships,,,,,,,,
41,Reser'sFineFoods,CPG-ConsumerPackagedGoods,,,,,x,,
42,SelectronTechnologies;Inc,Internet&Software,,x,x,,,Internship;Job,
43,SkillzInc.,Internet&Software,,x,,,,,
44,StonewoodStructuralEngineers,CivilEngineering,x,,,,,Job,
45,SwagelokNorthwest(US)|SwagelokAlaska,OtherIndustries,,,,,x,Job,
46,Synopsys,Internet&Software,,x,x,,,Internship;Job,Y
47,Teradyne,Electronic&ComputerHardware,,,x,,x,Internship;Job,Y
48,,,,,,,,,
49,TheGreenbrierCompanies,Manufacturing-Other,,,,,,Internship,
50,TruebeckConstruction,Construction,x,,,,,Internship;Job,
51,USArmyCorpsofEngineers-PortlandDistrict,UtilitiesandRenewableEnergy,x,,x,,x,Internship;Job,
52,ViewPoint,Internet&Software,,x,x,x,,Internship;Job,Y
53,VLMKEngineering+Design,CivilEngineering,x,,,,,Job,
54,,,,,,,,,
55,WashingtonStateDepartmentofTransportation,Government-Local;State&Federal,x,,,,x,Internship;Job,Y
56,WorkSourceOregon,SocialAssistance,,,,,,,
57,ZCSEngineering&Architecture,CivilEngineering,x,,,,,Internship;Job,
